season,round,constructor,constructor_points_after_race,constructor_wins_after_race,constructor_standings_pos_after_race,constructor_points,constructor_wins,constructor_standings_pos
2019,10,alfa,26,0,6,22.0,0.0,6.0
2019,10,racing_point,19,0,7,19.0,0.0,7.0
2019,10,toro_rosso,19,0,8,17.0,0.0,8.0
2019,10,haas,16,0,9,16.0,0.0,9.0
2019,10,williams,0,0,10,0.0,0.0,10.0
2019,11,mercedes,409,9,1,407.0,9.0,1.0
2019,11,ferrari,261,0,2,243.0,0.0,2.0
2019,11,red_bull,217,2,3,191.0,1.0,3.0
2019,11,mclaren,70,0,4,60.0,0.0,4.0
2019,11,toro_rosso,42,0,5,19.0,0.0,8.0
2019,11,renault,39,0,6,39.0,0.0,5.0
2019,11,racing_point,31,0,7,19.0,0.0,7.0
2019,11,haas,26,0,8,16.0,0.0,9.0
2019,11,alfa,26,0,9,26.0,0.0,6.0
2019,11,williams,1,0,10,0.0,0.0,10.0
2019,12,mercedes,438,10,1,409.0,9.0,1.0
2019,12,ferrari,288,0,2,261.0,0.0,2.0
2019,12,red_bull,244,2,3,217.0,2.0,3.0
2019,12,mclaren,82,0,4,70.0,0.0,4.0
2019,12,toro_rosso,43,0,5,42.0,0.0,5.0
2019,12,renault,39,0,6,39.0,0.0,6.0
2019,12,alfa,32,0,7,26.0,0.0,9.0
2019,12,racing_point,31,0,8,31.0,0.0,7.0
2019,12,haas,26,0,9,26.0,0.0,8.0
2019,12,williams,1,0,10,1.0,0.0,10.0
2019,13,mercedes,471,10,1,438.0,10.0,1.0
2019,13,ferrari,326,1,2,288.0,0.0,2.0
2019,13,red_bull,254,2,3,244.0,2.0,3.0
2019,13,mclaren,82,0,4,82.0,0.0,4.0
2019,13,toro_rosso,51,0,5,43.0,0.0,5.0
2019,13,renault,43,0,6,39.0,0.0,6.0
2019,13,racing_point,40,0,7,31.0,0.0,8.0
2019,13,alfa,32,0,8,32.0,0.0,7.0
2019,13,haas,26,0,9,26.0,0.0,9.0
2019,13,williams,1,0,10,1.0,0.0,10.0
2019,14,mercedes,505,10,1,471.0,10.0,1.0
2019,14,ferrari,351,2,2,326.0,1.0,2.0
2019,14,red_bull,266,2,3,254.0,2.0,3.0
2019,14,mclaren,83,0,4,82.0,0.0,4.0
2019,14,renault,65,0,5,43.0,0.0,6.0
2019,14,toro_rosso,51,0,6,51.0,0.0,5.0
2019,14,racing_point,46,0,7,40.0,0.0,7.0
2019,14,alfa,34,0,8,32.0,0.0,8.0
2019,14,haas,26,0,9,26.0,0.0,9.0
2019,14,williams,1,0,10,1.0,0.0,10.0
2019,15,mercedes,527,10,1,505.0,10.0,1.0
2019,15,ferrari,394,3,2,351.0,2.0,2.0
2019,15,red_bull,289,2,3,266.0,2.0,3.0
2019,15,mclaren,89,0,4,83.0,0.0,4.0
2019,15,renault,67,0,5,65.0,0.0,5.0
2019,15,toro_rosso,55,0,6,51.0,0.0,6.0
2019,15,racing_point,46,0,7,46.0,0.0,7.0
2019,15,alfa,35,0,8,34.0,0.0,8.0
2019,15,haas,26,0,9,26.0,0.0,9.0
2019,15,williams,1,0,10,1.0,0.0,10.0
2019,16,mercedes,571,11,1,527.0,10.0,1.0
2019,16,ferrari,409,3,2,394.0,3.0,2.0
2019,16,red_bull,311,2,3,289.0,2.0,3.0
2019,16,mclaren,101,0,4,89.0,0.0,4.0
2019,16,renault,68,0,5,67.0,0.0,5.0
2019,16,toro_rosso,55,0,6,55.0,0.0,6.0
2019,16,racing_point,52,0,7,46.0,0.0,7.0
2019,16,alfa,35,0,8,35.0,0.0,8.0
2019,16,haas,28,0,9,26.0,0.0,9.0
2019,16,williams,1,0,10,1.0,0.0,10.0
2019,17,mercedes,612,12,1,571.0,11.0,1.0
2019,17,ferrari,435,3,2,409.0,3.0,2.0
2019,17,red_bull,323,2,3,311.0,2.0,3.0
2019,17,mclaren,111,0,4,101.0,0.0,4.0
2019,17,renault,68,0,5,68.0,0.0,5.0
2019,17,toro_rosso,62,0,6,55.0,0.0,6.0
2019,17,racing_point,58,0,7,52.0,0.0,7.0
2019,17,alfa,35,0,8,35.0,0.0,8.0
2019,17,haas,28,0,9,28.0,0.0,9.0
2019,17,williams,1,0,10,1.0,0.0,10.0
2019,18,mercedes,652,13,1,612.0,12.0,1.0
2019,18,ferrari,466,3,2,435.0,3.0,2.0
2019,18,red_bull,341,2,3,323.0,2.0,3.0
2019,18,mclaren,111,0,4,111.0,0.0,4.0
2019,18,renault,73,0,5,68.0,0.0,5.0
2019,18,toro_rosso,64,0,6,62.0,0.0,6.0
2019,18,racing_point,64,0,7,58.0,0.0,7.0
2019,18,alfa,35,0,8,35.0,0.0,8.0
2019,18,haas,28,0,9,28.0,0.0,9.0
2019,18,williams,1,0,10,1.0,0.0,10.0
2019,19,mercedes,695,14,1,652.0,13.0,1.0
2019,19,ferrari,479,3,2,466.0,3.0,2.0
2019,19,red_bull,366,2,3,341.0,2.0,3.0
2019,19,mclaren,121,0,4,111.0,0.0,4.0
2019,19,renault,83,0,5,73.0,0.0,5.0
2019,19,racing_point,65,0,6,64.0,0.0,7.0
2019,19,toro_rosso,64,0,7,64.0,0.0,6.0
2019,19,alfa,35,0,8,35.0,0.0,8.0
2019,19,haas,28,0,9,28.0,0.0,9.0
2019,19,williams,1,0,10,1.0,0.0,10.0
2019,20,mercedes,701,14,1,695.0,14.0,1.0
2019,20,ferrari,479,3,2,479.0,3.0,2.0
2019,20,red_bull,391,3,3,366.0,2.0,3.0
2019,20,mclaren,140,0,4,121.0,0.0,4.0
2019,20,renault,91,0,5,83.0,0.0,5.0
2019,20,toro_rosso,83,0,6,64.0,0.0,7.0
2019,20,racing_point,67,0,7,65.0,0.0,6.0
2019,20,alfa,57,0,8,35.0,0.0,8.0
2019,20,haas,28,0,9,28.0,0.0,9.0
2019,20,williams,1,0,10,1.0,0.0,10.0
2019,21,mercedes,739,15,1,701.0,14.0,1.0
2019,21,ferrari,504,3,2,479.0,3.0,2.0
2019,21,red_bull,417,3,3,391.0,3.0,3.0
2019,21,mclaren,145,0,4,140.0,0.0,4.0
2019,21,renault,91,0,5,91.0,0.0,5.0
2019,21,toro_rosso,85,0,6,83.0,0.0,6.0
2019,21,racing_point,73,0,7,67.0,0.0,7.0
2019,21,alfa,57,0,8,57.0,0.0,8.0
2019,21,haas,28,0,9,28.0,0.0,9.0
2019,21,williams,1,0,10,1.0,0.0,10.0
